Q. No,QuestionType,Blooms Category,Difficulty Level,Topic,QuestionText,MultipleAnswer Allowed,Option1,CA - 1,Option2,CA - 2,Option3,CA - 3,Option4,CA - 4,Option5,CA - 5,Error Flag
76,MULTICHOICE,Analysis,Average,Platform Architecture & Execution Model,A client observes that Devin's local testing passed but CI failed on the same code. Analyze the possible causes within the platform architecture.,N,"The VM's environment (snapshot-based) may differ from the CI runner's environment — different OS versions, dependency versions, or test data. The blueprint should mirror CI's environment as closely as possible, and the maintenance block should sync any dynamic test fixtures",1,"This is impossible — if local tests pass on Devin's VM, CI must also pass since they run the same code",,"Devin's VM always has newer package versions than CI, so the fix is to downgrade Devin's packages",,This happens because Devin runs tests in parallel while CI runs them sequentially,,,,N
77,MULTICHOICE,Analysis,Average,Platform Architecture & Execution Model,Compare the architectural implications of org-scoped secrets vs. repo-scoped secrets vs. user-scoped secrets. When is each appropriate?,N,"Org-scoped: shared service accounts used by all sessions (e.g., shared Jira token). Repo-scoped: credentials specific to one repository's infrastructure (e.g., a repo-specific deploy key). User-scoped: personal credentials that should not be shared with other team members (e.g., personal GitHub PAT). The hierarchy prevents over-sharing while enabling appropriate access",1,All secrets should be org-scoped for simplicity — team members all work on the same systems,,Repo-scoped secrets are always preferable because they follow the principle of least privilege,,"User-scoped secrets should never be used because Devin is a team resource, not personal",,,,N
78,MULTICHOICE,Analysis,Average,Platform Architecture & Execution Model,A team is debating whether to put database migration scripts in the blueprint's initialize block or maintenance block. Analyze which is correct and why.,N,"Neither — database migrations change with code and should run as part of the session's task execution (not blueprint). The blueprint should install the migration tool (initialize) and start the database service (maintenance), but running migrations belongs to the session logic since the schema evolves with each PR",1,Initialize block — migrations define the persistent schema needed by all sessions,,Maintenance block — migrations need to run at every session start to ensure the schema is current,,"Both — initialize for the baseline schema, maintenance for recent migrations",,,,N
79,MULTICHOICE,Analysis,Average,Platform Architecture & Execution Model,Analyze why Devin's architecture uses the PR as the 'review gate' rather than having an approval step within the session itself.,N,"The PR integrates with the team's existing review tools, CI infrastructure, and approval workflows — it is a familiar, auditable artifact that provides diff visibility, threaded discussion, status checks, and merge protection. Building an in-session approval flow would duplicate what PRs already provide and fragment the audit trail",1,In-session approval is not possible because Devin cannot pause mid-execution,,PRs are used because Devin only supports Git-based workflows and cannot produce other artifact types,,The choice is arbitrary — an in-session approval step would work equally well,,,,N
80,MULTICHOICE,Analysis,Average,Platform Architecture & Execution Model,"A client wants to understand the cost implications of Devin's architecture for a task that involves: 30 minutes of active coding, 2 days waiting for human review, then 15 minutes of iteration. Analyze the ACU consumption.",N,"ACU consumption is approximately 45 minutes of active compute (30 min + 15 min). The 2 days of waiting cost zero ACUs because the session hibernates — compute resources are released while state is preserved. This makes long-lifecycle tasks (multi-day reviews, blocked dependencies) economically viable",1,ACU consumption is 48+ hours because the VM must remain allocated while waiting for the review,,ACU consumption is 30 minutes — the iteration after review is free as a 'follow-up' within the same session,,ACU consumption depends on the reviewer's response time — faster reviews use fewer ACUs,,,,N
81,MULTICHOICE,Analysis,Average,Platform Architecture & Execution Model,"A client asks: 'If sessions start from a snapshot, how does Devin get the latest code? The snapshot was built days ago.' Analyze how the architecture handles this.",N,"The snapshot bakes in tooling, runtimes, and dependencies (slow-changing). At session start, Devin clones or pulls the latest code from the Git connection (fast operation). This separation means snapshots rarely need rebuilding (only when tools change) while code is always current",1,Snapshots are rebuilt every time any repository has new commits,,The snapshot includes a cached copy of the code that Devin patches with recent commits using git fetch,,Sessions cannot access code newer than the snapshot — this is a known platform limitation,,,,N
82,MULTICHOICE,Analysis,Average,Platform Architecture & Execution Model,Analyze why Devin's platform provides both MCP server integrations AND shell/browser access. Why are both needed?,N,"MCP provides structured, pre-configured access to common tools (Jira, Datadog, Confluence) with consistent interfaces. Shell/browser provides unrestricted access for anything not covered by MCP — custom APIs, legacy systems, internal tools. Together they cover both standardized and bespoke integration needs",1,MCP is for reading data and shell is for writing data — they serve complementary I/O directions,,MCP is used during the initialize phase and shell/browser during active execution,,Shell access is a legacy feature being replaced by MCP; new deployments should use MCP exclusively,,,,N
83,MULTICHOICE,Analysis,Average,Platform Architecture & Execution Model,"A client is concerned that if a Devin session is compromised, it could access other sessions' data. Analyze the architectural safeguards against this.",N,"Each session runs on its own isolated VM — there is no shared filesystem, no shared memory, no shared network namespace between sessions. Credentials are scoped (not global), and there is no lateral movement path between VMs. Even if one session were compromised, it has no mechanism to discover or access other sessions",1,Sessions share a common disk but use file permission isolation (similar to multi-tenant Linux),,"All session-to-session communication is encrypted, which prevents interception but does not prevent access",,The platform relies on network firewalls between session VMs but they share a common credential store,,,,N
84,MULTICHOICE,Synthesis,Difficult,Platform Architecture & Execution Model,"Design an environment blueprint for a Java/Spring Boot monorepo that requires: JDK 17, Gradle 8.x, Docker Compose (Postgres + Redis + Kafka), and connection to a private Artifactory for internal dependencies. Consider which blocks each item belongs in.",N,"Initialize: install JDK 17, Gradle 8.x, Docker, and configure Artifactory credentials ($ARTIFACTORY_TOKEN) for Gradle's repository resolution. Maintenance: start Docker Compose stack (Postgres/Redis/Kafka), verify services are healthy, run gradle dependencies to warm the cache. This puts persistent installs in the snapshot and ephemeral services in per-session startup",1,Initialize: install everything including starting Docker Compose. Maintenance: just pull latest code,,"Initialize: only JDK and Gradle. Maintenance: install Docker, start Compose, configure Artifactory, warm cache",,Put everything in maintenance so the snapshot stays small and generic,,,,N
85,MULTICHOICE,Synthesis,Difficult,Platform Architecture & Execution Model,"Design a verification strategy for a client whose application has: fast unit tests (2 min), slow integration tests (30 min), and an external contract test suite (requires staging). Map each to the appropriate verification tier in Devin's model.",N,"Local VM: run unit tests (2 min) — fast feedback loop before pushing. CI pipeline: run integration tests (30 min) — Devin pushes, monitors CI, iterates if failures occur. External validation: contract tests against staging triggered by CI after integration tests pass — Devin monitors this final gate. This tiered approach provides increasingly rigorous verification while keeping the inner loop fast",1,Run all tests locally on the VM to avoid CI dependency — even if it takes 30+ minutes per iteration,,Skip local testing entirely and push immediately — let CI handle all verification in parallel,,Only run unit tests locally and in CI — contract tests are out of scope for Devin,,,,N
86,MULTICHOICE,Synthesis,Difficult,Platform Architecture & Execution Model,"A client has 5 product teams, each with different tech stacks (Java, Python, .NET, Go, React). Design the environment configuration architecture that balances standardization with per-team customization.",N,"Org-level blueprint: install shared tools (Docker, Git, common CLI utilities, monitoring agents). Repo-level blueprints per tech stack: Java repos get JDK/Gradle, Python repos get pyenv/poetry, .NET repos get SDK, Go repos get Go toolchain, React repos get Node/npm. Shared Knowledge notes for org-wide conventions; team-specific Knowledge with appropriate scope triggers for each tech stack",1,One large org-level blueprint that installs all 5 tech stacks in every session regardless of which team triggers it,,"Five separate Devin organizations, one per team, with no shared configuration",,No blueprints — let each session install whatever it needs from scratch since teams change stacks frequently,,,,N
87,MULTICHOICE,Synthesis,Difficult,Platform Architecture & Execution Model,Design a platform architecture that supports both real-time emergency response (incident triage within minutes) and batch maintenance (weekly dependency updates) without one blocking the other.,N,Event-driven incident sessions have no concurrency limit with other session types (each gets its own VM instantly). Scheduled maintenance sessions use the parent-child pattern with controlled concurrency (batches of N). Both share the same shared context layer but execute independently — emergency sessions are never queued behind batch work because each session gets its own isolated VM,1,"Dedicate a pool of VMs to incident response and a separate pool to batch work, with manual allocation",,Priority queue system where incidents pre-empt running batch sessions and take over their VMs,,Run emergency sessions on a different Devin organization with its own billing to ensure availability,,,,N
88,MULTICHOICE,Synthesis,Difficult,Platform Architecture & Execution Model,"Design a Knowledge note strategy that handles: (1) organization-wide coding standards, (2) team-specific conventions, (3) repo-specific architectural decisions, and (4) temporary project guidelines that expire.",N,"(1) Org-wide Knowledge with broad trigger scope (e.g., 'When working on any repo'). (2) Team Knowledge with team/repo-group triggers (e.g., 'When working on backend-* repos'). (3) Repo Knowledge with repo-specific triggers. (4) Time-bounded Knowledge with triggers that reference the project name — reviewed and deleted after the project completes. Scope triggers ensure Devin retrieves only relevant notes per session",1,Put everything in a single comprehensive Knowledge note — Devin will ignore irrelevant parts automatically,,Use only repo-level Knowledge and duplicate org-wide standards into every repo's notes,,Store all guidelines in AGENTS.md files in each repo instead of using the Knowledge system,,,,N
89,MULTICHOICE,Synthesis,Difficult,Platform Architecture & Execution Model,"Design the platform configuration for a client that needs Devin to operate across 3 cloud environments (AWS, Azure, GCP) depending on which team's repo is being modified. Each cloud requires different credentials and network paths.",N,"Repo-scoped secrets: AWS credentials for AWS-team repos, Azure credentials for Azure-team repos, GCP credentials for GCP-team repos. Repo-level blueprints install the appropriate CLI (aws-cli, az, gcloud) per repo. MCP servers configured per cloud for observability access. The platform's secret scoping ensures a session working on an AWS repo never has access to Azure credentials",1,Org-level secrets with all three cloud credentials available to every session — Devin picks the right one,,"Three separate Devin organizations, one per cloud provider, with users split across them",,A single mega-blueprint that installs all three CLIs and configures all three clouds in every session,,,,N
90,MULTICHOICE,Evaluation,Difficult,Platform Architecture & Execution Model,Evaluate the following claim: 'Devin's clean-room architecture is overkill for development tasks — a shared multi-tenant environment would be more cost-effective and equally safe for non-production code.',N,"The claim underestimates the security risk — sessions handle secrets, access private repos, and connect to internal systems. A shared environment would create lateral movement paths between sessions from different users/teams/repos. The cost of isolation (per-session VM) is marginal compared to the security, reproducibility, and auditability guarantees it provides",1,The claim is valid — development environments do not need production-level isolation since no customer data is involved,,The claim is valid for small teams (under 10 engineers) but invalid for larger organizations,,The claim would be valid if Devin only generated code suggestions without executing anything,,,,N
91,MULTICHOICE,Evaluation,Difficult,Platform Architecture & Execution Model,"A client argues: 'We should configure our blueprint with all possible tools and dependencies to handle any task, even if it makes the snapshot 50GB.' Evaluate this approach.",N,"This is suboptimal — bloated snapshots slow boot times, increase storage costs, and violate the principle of scoping environments to what's needed. Better: org-level blueprint for universal tools, repo-level blueprints for stack-specific dependencies. Each session boots only what is relevant to its task. If the team has diverse needs, multiple focused blueprints outperform one monolithic one",1,This is the correct approach — larger snapshots ensure no session ever waits for installation,,This is acceptable as long as the team only has one tech stack,,Snapshot size does not matter because Devin always starts from a network-mounted disk,,,,N
92,MULTICHOICE,Evaluation,Difficult,Platform Architecture & Execution Model,"Evaluate the statement: 'The ACU billing model incentivizes writing bad code that requires more iterations, since Devin keeps running longer to fix its own mistakes.'",N,"This misunderstands the incentive structure — investing in the shared context layer (better blueprints, Knowledge, Playbooks) reduces iterations and ACU spend. The architecture is designed so upfront configuration investment reduces per-session cost over time. Organizations that configure well spend fewer ACUs per merged PR",1,This is a valid concern — organizations should cap ACUs per session to prevent runaway spending,,This is correct — the platform should switch to per-PR pricing to align incentives,,ACU cost is irrelevant because it is always cheaper than an engineer's hourly rate,,,,N
93,TRUEFALSE,Evaluation,Difficult,Platform Architecture & Execution Model,An architect who puts all environment setup commands in the maintenance block (instead of splitting between initialize and maintenance) creates a correct architecture because everything still runs at session start.,N,True,,False,1,,,,,,,N
94,MULTICHOICE,Evaluation,Difficult,Platform Architecture & Execution Model,Evaluate Devin's 'service account friendly' credential model vs. the alternative of using individual developer OAuth tokens. Which is architecturally superior for a team deployment?,N,"Service accounts are superior because they decouple agent access from individual identities — no single developer's offboarding revokes team-wide agent access, permissions are scoped to what the agent needs (not what a developer has), and audit trails clearly separate human from agent actions",1,Individual OAuth tokens are superior because they provide per-user attribution for every change,,Both are equivalent — the choice depends on the organization's identity provider,,"Service accounts are only appropriate for production environments, not development agents",,,,N
95,MULTICHOICE,Evaluation,Difficult,Platform Architecture & Execution Model,A client states: 'We do not need to invest in environment blueprints because Devin can install dependencies on the fly at session start.' Evaluate this position against the platform's design philosophy.,N,"This defeats the purpose of the blueprint system — every session wastes 5-15 minutes on installation, costs more ACUs, risks version drift between sessions (npm install today differs from tomorrow), and misses the reproducibility guarantee. The blueprint is a one-time investment that eliminates repeated setup cost and ensures every session starts from an identical, proven base",1,This is a valid approach for teams with limited DevOps capacity to maintain blueprints,,This is acceptable for exploratory sessions but not for production-grade automation,,This only matters if sessions run frequently — teams with fewer than 10 sessions/week should skip blueprints,,,,N
96,MULTICHOICE,Knowledge,Easy,Multi-Agent Orchestration & Campaigns,"In the parent-child orchestration pattern, what are the responsibilities of the parent agent?",Y,Analyzing scope and identifying targets,0.25,Creating a playbook encoding the methodology,0.25,Spawning child agents for each target,0.25,Monitoring progress and handling failures,0.25,Executing the implementation work for each target,,N
97,TRUEFALSE,Knowledge,Easy,Multi-Agent Orchestration & Campaigns,"In the parent-child pattern, each child agent runs on its own isolated VM with its own branch and produces its own PR independently of other children.",N,True,1,False,,,,,,,,N
98,MULTICHOICE,Knowledge,Easy,Multi-Agent Orchestration & Campaigns,What is the purpose of a Playbook in multi-agent campaigns?,N,"To encode a proven methodology that every child agent follows, ensuring consistent execution across all targets regardless of which team member triggered the campaign",1,To store the source code that child agents will modify,,To schedule when each child agent starts and stops,,To monitor the CI pipeline results for all children simultaneously,,,,N
99,MULTICHOICE,Knowledge,Easy,Multi-Agent Orchestration & Campaigns,What characteristic of Playbooks makes them suitable for scaled campaigns?,N,"They are repeatable, versionable, shareable, and composable — encoding methodology rather than target-specific details so the same playbook works across many different targets",1,"They can only be used with parent-child patterns, not single-agent tasks",,They automatically detect which repositories need changes,,They replace the need for human code review on child agent PRs,,,,N
100,MULTICHOICE,Comprehension,Average,Multi-Agent Orchestration & Campaigns,Why does the parent-child pattern specify that 'failures in one child do not affect others'?,N,"Because each child runs on its own isolated VM with its own branch — a compilation error, test failure, or crash in Child A's environment has no impact on Child B's environment or execution. They share no state",1,Because the parent agent automatically fixes child failures before they propagate,,"Because children are spawned in sequence, so a failure stops only subsequent children",,Because children share a VM but use separate containers within it,,,,N
101,MULTICHOICE,Comprehension,Average,Multi-Agent Orchestration & Campaigns,"Why should a Playbook 'encode methodology, not specifics'?",N,"Because a playbook used across N targets must be generic enough to apply to each one — it describes the procedure (steps, verification criteria, rollback approach) while the session prompt or context provides target-specific details (repo name, module, version). This separation enables reuse at scale",1,Because specific details change too frequently to maintain in a playbook,,Because specifics would make the playbook file too large for the platform to store,,Because only parent agents use playbooks and parents never handle specifics,,,,N
102,MULTICHOICE,Comprehension,Average,Multi-Agent Orchestration & Campaigns,Why is maximum concurrency control important when spawning child agents in a campaign?,N,"To avoid overwhelming CI systems with too many simultaneous PRs, respecting API rate limits, and preventing the human review queue from being flooded with more PRs than the team can process in a reasonable timeframe",1,Because the Devin platform has a hard limit of 5 concurrent sessions per organization,,Because child agents on the same repo would create merge conflicts if they all run simultaneously,,To reduce ACU cost since more concurrent sessions are billed at a higher rate,,,,N
103,TRUEFALSE,Comprehension,Average,Multi-Agent Orchestration & Campaigns,A well-designed campaign playbook should include target-specific details like file paths and variable names for each individual migration unit.,N,True,,False,1,,,,,,,N
104,MULTICHOICE,Application,Average,Multi-Agent Orchestration & Campaigns,A client has 50 microservices that need upgrading from Spring Boot 2.7 to 3.2. Each service is in its own repository. Design the campaign structure.,N,"Parent agent: enumerate all 50 repos, create a Spring Boot migration playbook (Jakarta namespace, dependency updates, test verification), spawn 50 child agents (one per repo) each following the playbook, set concurrency limit to 10 to manage review load, monitor results and report failures to human team",1,"Single parent session that sequentially checks out each repo, applies the upgrade, and opens 50 PRs from one session",,50 separate scheduled sessions with the same prompt — no parent coordination needed,,One child agent per service but no parent — let children self-organize through a shared database,,,,N
105,MULTICHOICE,Application,Average,Multi-Agent Orchestration & Campaigns,An organization has 500 open Snyk findings across 80 repositories. The security team wants to remediate all HIGH findings within a week. How should the architect structure this campaign?,N,"Parent agent: query Snyk API for all HIGH findings grouped by repo → create remediation playbook (read advisory, apply fix, verify scan clean) → spawn children batched by repo (one child per repo with its findings) → set concurrency appropriate to the team's review capacity → parent tracks remediation progress and escalates stubborn findings",1,One child per finding (500 children) each opening its own PR — maximum parallelism,,A single long-running session that iterates through all 500 findings sequentially,,Assign 80 scheduled sessions (one per repo) that each handle all findings in their repo,,,,N
106,MULTICHOICE,Application,Average,Multi-Agent Orchestration & Campaigns,A client wants to generate unit tests for 200 modules with low coverage. Some modules have dependencies on other modules. How should the architect handle the dependency consideration?,N,Child agents should operate independently since each writes tests for its own module using mocks/stubs for dependencies — inter-module dependencies do not create cross-child dependencies because tests isolate the unit under test. The playbook should specify to follow existing test patterns and mock external dependencies,1,"Spawn children in dependency order — test leaf modules first, then modules that depend on them",,Group dependent modules together so one child handles all modules in a dependency chain,,Have the parent agent resolve all dependency conflicts before spawning any children,,,,N
107,MULTICHOICE,Application,Average,Multi-Agent Orchestration & Campaigns,A campaign has 30 children but the team can only review 10 PRs per day. How should the architect configure concurrency?,N,"Set concurrency to 10 children at a time — once the first batch's PRs are reviewed and merged, spawn the next batch. This prevents the review queue from growing unbounded while still parallelizing within each batch",1,"Spawn all 30 simultaneously — the review bottleneck is the team's problem, not the architect's",,Spawn 1 child at a time to match the slowest reviewer's pace,,"Spawn all 30 but configure Devin to auto-merge if CI passes, eliminating the review bottleneck",,,,N
108,MULTICHOICE,Application,Average,Multi-Agent Orchestration & Campaigns,A data migration campaign involves translating 300 SAS ETL jobs to Python. Each job takes 15-45 minutes. The client wants the campaign completed within 2 weeks. Design the batching strategy.,N,"Batch into groups of 30 children, run 10 batches sequentially. First batch validates the playbook approach — if systematic issues emerge, fix the playbook before proceeding. This allows 300 jobs across 10 days with review capacity alignment. Include golden-file validation in the playbook so each child verifies output parity before submitting its PR",1,Spawn all 300 simultaneously on day 1 to maximize parallelism and finish in hours,,Run 5 children per day (300/60 = too slow) to be conservative,,Translate all 300 in a single parent session to maintain consistency across translations,,,,N
109,MULTICHOICE,Application,Average,Multi-Agent Orchestration & Campaigns,A campaign requires sequential dependencies: Step 1 (migrate database schema) must complete before Step 2 (update application code) which must complete before Step 3 (update integration tests). These are for the SAME repository. How should this be structured?,N,"This is NOT a parallel campaign — it is a single-agent sequential task because all steps target the same repo and branch with ordering dependencies. Use one Devin session with a multi-step playbook that executes steps in order, verifying each before proceeding to the next",1,"Spawn 3 child agents (one per step) running simultaneously on separate branches, then merge in order",,"Parent agent spawns Step 1 child, waits for merge, spawns Step 2 child, waits for merge, spawns Step 3 child",,"Use a chain pattern: Child 1 triggers Child 2 via webhook when its PR merges, which triggers Child 3",,,,N
110,MULTICHOICE,Analysis,Average,Multi-Agent Orchestration & Campaigns,A campaign of 40 children has completed with 35 successes and 5 failures. The failures all report the same error: 'cannot resolve internal dependency X.' Analyze the root cause in the context of campaign architecture.,N,"The playbook or environment configuration is missing access to an internal artifact repository where dependency X is published — this is a systematic issue affecting all repos that use X. The fix is to add the repository credentials/configuration to the blueprint or secrets, not to retry the failed children individually",1,Five repositories have a unique bug that prevents compilation — each needs individual investigation,,The concurrency was too high and the internal repository rate-limited the requests,,The parent agent incorrectly assigned these 5 targets to children — they should have been excluded from the campaign,,,,N
111,MULTICHOICE,Analysis,Average,Multi-Agent Orchestration & Campaigns,"An architect proposed spawning 200 children simultaneously for a migration campaign. After launch, the organization's GitHub instance became unresponsive due to API rate limiting. Analyze the architectural failure.",N,"The architect failed to set a maximum concurrency limit — 200 simultaneous sessions all cloning repos, pushing branches, and opening PRs overwhelmed GitHub's API rate limits. The correct design uses batched concurrency (e.g., groups of 20) to stay within API rate limits while still parallelizing work",1,GitHub was experiencing an unrelated outage that coincided with the campaign launch,,The parent agent should have used a different version control system for large campaigns,,200 children is within normal parameters — the issue is that GitHub needs a higher rate limit tier,,,,N
112,MULTICHOICE,Analysis,Average,Multi-Agent Orchestration & Campaigns,"Compare two campaign strategies for 100 security findings across 20 repos: (A) One child per finding (100 children, potentially multiple PRs per repo), (B) One child per repo (20 children, each handling all findings in that repo). Analyze which is superior and why.",N,"Strategy B (per-repo) is superior — it avoids merge conflicts from multiple PRs targeting the same repo, reduces review overhead (20 PRs vs. 100), allows the child to see interactions between fixes in the same codebase, and uses fewer total sessions. Strategy A risks children creating conflicting changes in the same files",1,"Strategy A (per-finding) is superior — it provides better isolation and if one fix breaks something, it only affects that one finding",,Both are equivalent — the total amount of work is the same regardless of grouping,,Strategy A is superior for CRITICAL findings and Strategy B for HIGH findings,,,,N
113,MULTICHOICE,Analysis,Difficult,Multi-Agent Orchestration & Campaigns,A team ran a campaign of 50 children and noticed the first 5 children all made the same mistake — they used a deprecated API that the playbook did not account for. The remaining 45 children made the same mistake. Analyze what should have been done differently.,N,"The campaign should have used progressive batching — run the first batch of 5, validate their output before launching the remaining 45. This 'canary batch' approach catches systematic playbook issues early. After seeing the first batch's mistake, the team would fix the playbook (add guidance about the deprecated API) and then run the remaining 45 with the corrected methodology",1,The playbook should have listed every deprecated API in the entire ecosystem to prevent this,,Each child should have been configured to ask the user before using any API call,,The parent should monitor every child in real time and intervene the moment a mistake is detected,,,,N
114,MULTICHOICE,Analysis,Difficult,Multi-Agent Orchestration & Campaigns,Analyze why the parent-child pattern is described as enabling 'work that would otherwise require a dedicated team.' What structural property of the pattern creates this capability?,N,"Each child agent is fully independent (own VM, own branch, own PR) and follows the same playbook — this means N units of work execute in parallel without coordination overhead between them. A human team doing the same work would need coordination meetings, shared branch management, and sequential code reviews. The pattern converts team-coordination problems into independent parallel execution",1,Child agents work faster than human engineers because they do not take breaks,,The parent agent replaces the need for a team lead who coordinates work,,Multiple child agents share a VM pool which is more efficient than dedicated hardware per developer,,,,N
115,MULTICHOICE,Analysis,Average,Multi-Agent Orchestration & Campaigns,"A campaign playbook instructs children to 'upgrade the framework to the latest version.' This caused problems when version 5.0 was released mid-campaign, resulting in some children using 4.9 and others using 5.0. Analyze the playbook design flaw.",N,The playbook uses a relative target ('latest') instead of an absolute target (specific version number). Playbooks for campaigns should pin the target version explicitly so all children produce consistent results regardless of when they execute. The version should be a parameter set at campaign launch time,1,The playbook should check if a new version was released since the campaign started and abort if so,,This is not a flaw — some children getting the newer version is actually better,,The parent should pause the entire campaign whenever a new version is released,,,,N
116,MULTICHOICE,Analysis,Difficult,Multi-Agent Orchestration & Campaigns,"A client wants to use parent-child for a task where 20 microservices need coordinated API changes — Service A's contract change affects Services B, C, and D. Analyze whether parent-child is appropriate here.",N,"Parent-child is NOT appropriate for interdependent changes — the pattern works for independent units of work. Coordinated API changes require sequencing (change the contract first, then update consumers) and cross-repo validation. This is better handled as a multi-step single-session task or sequential sessions with the parent managing the order and verifying integration between steps",1,Parent-child is appropriate — spawn one child per service and let them coordinate through their shared CI pipeline,,Parent-child is appropriate if you add a 'coordination channel' where children share state,,Parent-child works perfectly — just spawn all 20 simultaneously since they are all independent services,,,,N
117,MULTICHOICE,Analysis,Average,Multi-Agent Orchestration & Campaigns,"Analyze the role of the parent agent's 'monitors progress, handles failures' responsibility. What specific actions should a well-designed parent take when a child fails?",N,"The parent should: (1) classify the failure type (systematic vs. idiosyncratic), (2) if systematic, pause the campaign and fix the root cause (playbook/blueprint issue), (3) if idiosyncratic, decide whether to retry the child or escalate to humans, (4) track success/failure metrics and report aggregate campaign status",1,The parent should simply retry the failed child with the same parameters up to 10 times,,The parent should terminate the entire campaign and report all failures to the user at once,,The parent should ignore failures and report only the successes to the user,,,,N
118,MULTICHOICE,Analysis,Average,Multi-Agent Orchestration & Campaigns,A team asks: 'Why can't we just use 50 scheduled sessions instead of parent-child for our 50-repo upgrade?' Analyze the differences between these approaches.,N,"Parent-child provides: (1) a single campaign view with aggregate progress tracking, (2) consistent methodology enforcement via a shared playbook, (3) adaptive behavior (parent can pause/adjust based on early results), (4) failure handling and escalation. 50 independent scheduled sessions have no coordination, no shared methodology enforcement, no ability to detect systematic issues across the group, and no aggregate status view",1,There is no difference — 50 scheduled sessions achieve the same result as parent-child with less complexity,,The only difference is cost — parent-child uses fewer ACUs because the parent coordinates efficiently,,Scheduled sessions are superior because they do not require a parent agent consuming ACUs,,,,N
119,MULTICHOICE,Analysis,Difficult,Multi-Agent Orchestration & Campaigns,A campaign produces 50 PRs in 2 days. The engineering team's reviewers are overwhelmed and start rubber-stamping approvals without thorough review. Analyze this as a systemic risk and identify the architectural mitigation.,N,"The campaign concurrency was miscalibrated to the team's review capacity. Mitigations: (1) set concurrency to match daily review throughput, (2) add Devin Review as a first-pass automated reviewer to reduce human review burden, (3) use progressive batching so the first batch is reviewed carefully and validates the pattern, and subsequent batches receive lighter review since the methodology is proven",1,"This is a human process problem, not an architectural one — the solution is to hire more reviewers",,Enable auto-merge for all campaign PRs where CI passes to eliminate the review bottleneck entirely,,Reduce the number of targets to match the team's capacity rather than running the full campaign,,,,N
120,MULTICHOICE,Synthesis,Difficult,Multi-Agent Orchestration & Campaigns,"Design a campaign architecture for a COBOL-to-Java migration with 200 copybooks. The client requires: output parity verification, progressive validation, and the ability to pause if quality drops below threshold.",N,"Parent: analyze all 200 copybooks → create migration playbook with golden-file verification (run COBOL output, run Java output, compare) → start with canary batch of 10 → validate output parity metrics → if parity rate > 95%, proceed with batches of 20 → parent tracks per-batch parity rate → if any batch drops below threshold, pause campaign, analyze failures, refine playbook → resume with corrected methodology",1,"Spawn all 200 simultaneously, check parity after all complete, and redo any failures",,"Migrate 1 copybook per day for 200 days to ensure quality through slow, careful execution",,Single session that translates all 200 sequentially to maintain consistency,,,,N
121,MULTICHOICE,Synthesis,Difficult,Multi-Agent Orchestration & Campaigns,"Design an orchestration architecture for a client that needs: (1) quarterly framework upgrades across 30 services, (2) monthly security remediations across the same services, and (3) weekly dependency bumps. These campaigns may overlap temporally.",N,"Three independent campaign types with isolation: (1) Quarterly upgrade campaign — parent spawns children per service, each on a dedicated branch pattern (upgrade/service-name). (2) Monthly security — per-repo children on security/remediation branches. (3) Weekly deps — per-repo children on deps/weekly branches. Branch naming prevents conflicts between overlapping campaigns. Concurrency limits per campaign prevent total session overload. Playbooks are distinct per campaign type",1,A single master parent that manages all three campaign types and ensures they never overlap temporally,,Lock mechanism where only one campaign can run at a time — queue others until the active one completes,,Merge all three concerns into one monthly mega-campaign that does upgrades + security + deps in one pass,,,,N
122,MULTICHOICE,Synthesis,Difficult,Multi-Agent Orchestration & Campaigns,"Design a playbook for a security remediation campaign that handles three severity levels differently: CRITICAL (fix immediately and notify security team), HIGH (fix and await normal review), MEDIUM (fix and batch into weekly PR).",N,"Playbook steps: (1) Read finding details from prompt context. (2) Classify severity. (3) For CRITICAL: apply fix → run SAST re-scan → open PR with 'urgent' label → post to security channel via Slack MCP. (4) For HIGH: apply fix → run re-scan → open standard PR. (5) For MEDIUM: apply fix → run re-scan → commit to a 'weekly-remediation' branch (append, don't replace). Parent batches MEDIUMs and opens a combined PR weekly",1,Same playbook for all severities — just change the PR title to indicate urgency,,Three completely separate playbooks with no shared logic between them,,Children for CRITICAL run instantly; HIGH and MEDIUM children are queued and run later based on a timer,,,,N
123,MULTICHOICE,Synthesis,Difficult,Multi-Agent Orchestration & Campaigns,"Design a campaign monitoring dashboard architecture. The parent agent needs to provide: real-time status per child, aggregate metrics (success rate, average duration), and alerting when failure rate exceeds threshold.",N,"Parent agent: maintain a tracking structure mapping child session IDs to targets/status → poll child sessions periodically → compute aggregate metrics (completed/failed/in-progress, avg duration, success rate) → if failure rate > threshold (e.g., 20%), pause campaign and alert human via Slack/Teams MCP → provide summary report as a GitHub issue or message with per-child status table",1,Each child agent posts its own status to a shared spreadsheet that humans monitor,,Build a custom web dashboard that connects to the Devin API and displays real-time metrics,,Rely on email notifications from individual child PR creations for monitoring,,,,N
