Q. No,QuestionType,Blooms Category,Difficulty Level,Topic,QuestionText,MultipleAnswer Allowed,Option1,CA - 1,Option2,CA - 2,Option3,CA - 3,Option4,CA - 4,Option5,CA - 5,Error Flag
89,MULTICHOICE,Synthesis,Difficult,Session Management & Execution,Propose a monitoring strategy for an organization running 100+ Devin sessions per week across multiple teams.,N,"Implement a parent-level dashboard tracking session outcomes (PRs opened, CI pass rates, feedback iterations), team-level metrics on prompt quality (first-pass success rate), and alerts for sessions stuck in loops or exceeding time thresholds",1,Assign one person to manually check every session,,Only review sessions that produce failing CI,,No monitoring needed — Devin handles everything autonomously,,,,N
90,MULTICHOICE,Evaluation,Difficult,Session Management & Execution,"A manager argues that the team should watch every Devin session to ensure quality, rather than reviewing PRs after completion. Evaluate this approach.",N,"Ineffective — it eliminates the key benefit of autonomous execution (freeing developer time), and PR review with CI checks provides equivalent quality assurance. The session timeline provides full transparency for audit needs without real-time watching.",1,Effective — real-time monitoring always produces better code,,Partially effective — some sessions need monitoring but not all,,The approach depends on the team's budget for developer hours,,,,N
91,MULTICHOICE,Knowledge,Easy,Environment & Platform Configuration,What are the two sections of a Devin VM blueprint?,N,"Initialize (persistent, baked into snapshots) and Maintenance (ephemeral, runs at each session start)",1,Setup and Teardown,,Build and Deploy,,Configure and Execute,,,,N
92,TRUEFALSE,Knowledge,Easy,Environment & Platform Configuration,The correct syntax for referencing a secret in a Devin session is {{SECRET_NAME}} using double curly braces.,N,True,,False,1,,,,,,,N
93,TRUEFALSE,Knowledge,Easy,Environment & Platform Configuration,"Secrets in Devin can be scoped at three levels: organization, user, and repository.",N,True,1,False,,,,,,,,N
94,TRUEFALSE,Knowledge,Easy,Environment & Platform Configuration,"Devin cloud session VMs can run either Ubuntu Linux or Windows, selected through host configuration in the blueprint.",N,True,1,False,,,,,,,,N
95,TRUEFALSE,Knowledge,Easy,Environment & Platform Configuration,"Devin's VM blueprints allow pre-installation of language runtimes, tools, and dependencies so sessions boot ready to build.",N,True,1,False,,,,,,,,N
96,TRUEFALSE,Knowledge,Average,Environment & Platform Configuration,"MCP (Model Context Protocol) servers provide standardized interfaces for Devin to interact with external tools like Jira, Datadog, and Confluence.",N,True,1,False,,,,,,,,N
97,MULTICHOICE,Knowledge,Average,Environment & Platform Configuration,What are Devin's static egress IPs used for?,N,Firewall allowlisting so that Devin sessions can access private resources behind network firewalls,1,Routing all internet traffic through a VPN,,Identifying which developer started the session,,Load balancing across multiple VMs,,,,N
98,MULTICHOICE,Knowledge,Average,Environment & Platform Configuration,Which tool does Devin use for connecting to private Google Cloud SQL instances?,N,Cloud SQL Auth Proxy for mTLS database tunneling,1,A direct public IP connection,,SSH tunneling through a bastion host only,,Google Cloud VPN client,,,,N
99,MULTICHOICE,Comprehension,Easy,Environment & Platform Configuration,Why is the blueprint initialize section used for persistent software installation while maintenance handles ephemeral state?,N,"Initialize runs once during snapshot build and the results are baked in, making session startup fast; maintenance runs at every session start for state that cannot be persisted (like auth tokens)",1,There is no difference between the two sections,,Initialize runs faster than maintenance,,Maintenance is for large installations and initialize is for small ones,,,,N
100,TRUEFALSE,Comprehension,Easy,Environment & Platform Configuration,Git connections configured at the organization level allow all Devin sessions in the organization to clone and push to connected repositories without per-session setup.,N,True,1,False,,,,,,,,N
101,MULTICHOICE,Comprehension,Average,Environment & Platform Configuration,Explain why secrets should never be embedded in prompts or code.,N,"Secrets embedded in prompts or code can be logged, committed to version control, or exposed in session timelines; the platform's secrets management layer injects them securely at runtime",1,Embedding secrets is fine as long as the repo is private,,Secrets in prompts are automatically redacted by the platform,,The agent cannot read secrets from prompts,,,,N
102,TRUEFALSE,Comprehension,Average,Environment & Platform Configuration,.NET Framework applications can run on Devin's default Ubuntu Linux host without requiring a Windows VM.,N,True,,False,1,,,,,,,N
103,MULTICHOICE,Comprehension,Average,Environment & Platform Configuration,What is the three-layer connectivity model for accessing private cloud resources from Devin?,N,"Network Path (how traffic reaches the target), Transport (encryption/tunneling), and Identity (authentication/authorization)",1,"DNS, TCP, and HTTP",,"VPN, Firewall, and Proxy",,"Client, Server, and Database",,,,N
104,MULTICHOICE,Comprehension,Average,Environment & Platform Configuration,What is the benefit of using /dev/shm (RAM-backed storage) for secrets in blueprint maintenance blocks?,N,"Secrets written to RAM-backed storage are not persisted to disk and therefore not included in VM snapshots, preventing accidental secret exposure",1,RAM-backed storage is faster for reading secrets,,It provides additional encryption for secrets,,It is the only writable location on the VM,,,,N
105,MULTICHOICE,Comprehension,Average,Environment & Platform Configuration,Why are MCP server integrations configured at the organization level rather than per-session?,N,"So that every session in the organization automatically has access to the same external tools without per-session setup — configure once, use everywhere",1,Because individual sessions cannot be configured,,To prevent developers from using unauthorized tools,,Because MCP servers can only handle one connection at a time,,,,N
106,MULTICHOICE,Comprehension,Difficult,Environment & Platform Configuration,Explain why environment configuration is described as a 'one-time investment that pays dividends across every subsequent session.',N,"Once blueprints, knowledge, secrets, MCP servers, and Git connections are configured, every new session inherits them automatically — the upfront effort eliminates per-session setup friction for the entire team",1,Because the configuration never needs to be updated,,Because the first session is free,,Because configuration is shared across all organizations,,,,N
107,MULTICHOICE,Application,Easy,Environment & Platform Configuration,Your team's Devin sessions fail because Node.js 18 is not installed. Where should you add the Node.js installation?,N,In the blueprint's initialize section so it is baked into the VM snapshot and available instantly at every session start,1,In each prompt as the first instruction,,In the maintenance section so it installs fresh each time,,In a Knowledge note that reminds the agent to install Node.js,,,,N
108,TRUEFALSE,Application,Easy,Environment & Platform Configuration,Using ${SECRET_NAME} syntax in Devin prompts and blueprints ensures that secret values are never exposed in session logs or code.,N,True,1,False,,,,,,,,N
109,MULTICHOICE,Application,Average,Environment & Platform Configuration,A Devin session needs to connect to an AWS RDS instance in a private VPC. Which connectivity approach should you configure?,N,AWS Systems Manager (SSM) port forwarding to create a tunnel from the Devin VM to the private RDS instance,1,Open the RDS instance to the public internet,,Install a VPN client in each session's prompt,,Use Devin's static egress IPs to whitelist and connect directly through the public internet,,,,N
110,MULTICHOICE,Application,Average,Environment & Platform Configuration,You need to store an API key that all Devin sessions across the organization should access. At which secret scope should it be stored?,N,Organization scope — so it is available to every session in the org without per-user or per-repo configuration,1,User scope — each developer should have their own copy,,Repository scope — it should only be available in one repo,,Session scope — inject it fresh for each session,,,,N
111,MULTICHOICE,Application,Average,Environment & Platform Configuration,Your team needs Devin to interact with Jira for reading ticket details and updating status. What is the correct setup?,N,Configure a Jira MCP server at the organization level so every session can query and update Jira tickets automatically,1,Include Jira credentials in every prompt,,Ask the agent to log into Jira via the browser in each session,,Paste ticket details manually into each prompt,,,,N
112,MULTICHOICE,Application,Average,Environment & Platform Configuration,A .NET Framework 4.8 application needs to be worked on by Devin. What host configuration is required?,N,Select a Windows host in the VM blueprint since .NET Framework 4.8 is Windows-only and requires Windows APIs,1,Use the default Ubuntu host — .NET Framework runs on all platforms,,Install Wine on Ubuntu to run .NET Framework,,Use a macOS host for .NET development,,,,N
113,MULTICHOICE,Application,Average,Environment & Platform Configuration,Sessions are failing because an npm authentication token expires every 24 hours. Where should the token refresh be configured?,N,"In the blueprint's maintenance section, since it runs at every session start and can refresh ephemeral tokens that cannot be persisted in snapshots",1,In the initialize section so it only runs once,,In a Knowledge note that reminds the agent to refresh the token,,In each individual prompt,,,,N
114,MULTICHOICE,Application,Average,Environment & Platform Configuration,A team wants their coding standards document to be automatically available to every Devin session working on their repos. How should this be configured?,N,"Create a Knowledge note containing the coding standards, scoped to the organization or relevant repos, so Devin retrieves it automatically when working on related tasks",1,Paste the coding standards into every prompt,,Put the standards in a file on the developer's local machine,,Email the standards to the Devin support team,,,,N
115,MULTICHOICE,Application,Difficult,Environment & Platform Configuration,A team's application requires a PostgreSQL database for integration tests. How should the blueprint be configured?,N,Use the initialize section to install Docker and pull the PostgreSQL image; use the maintenance section to start a fresh container at each session start with seed data,1,Install PostgreSQL directly on the VM in each session's prompt,,Skip integration tests in Devin sessions,,Connect to the team's production database for testing,,,,N
116,MULTICHOICE,Application,Difficult,Environment & Platform Configuration,Your organization wants to use Devin to access a private Azure SQL Managed Instance behind a corporate network. What setup is needed?,N,"Configure network connectivity using Azure Private Link or Zscaler ZPA for zero-trust access, set up the appropriate credentials as secrets, and add the connection setup to the blueprint's maintenance section",1,Open the Azure SQL instance to the public internet,,Use the agent's browser to connect to Azure Portal,,Tell the agent to try different IP addresses until one works,,,,N
117,MULTICHOICE,Application,Difficult,Environment & Platform Configuration,Devin sessions need to connect to an on-premises Git server that is not publicly accessible. What networking approach enables this?,N,"Set up a VPN connection in the blueprint's maintenance section, or use Devin's static egress IPs with the on-premises firewall allowlist, along with a bastion host or tunnel for connectivity",1,Devin cannot access on-premises resources under any circumstances,,Make the Git server publicly accessible,,Upload all repository code to a public GitHub repo instead,,,,N
118,MULTICHOICE,Application,Difficult,Environment & Platform Configuration,A blueprint's maintenance section needs to authenticate with a cloud provider using a service account. How should the credentials be handled?,N,Store the credentials as secrets in the platform's secrets management layer and reference them using ${SECRET_NAME} syntax; write temporary tokens to /dev/shm,1,Hardcode the credentials in the blueprint YAML file,,Include the credentials in a Knowledge note,,Ask the developer to type the password at the start of each session,,,,N
119,MULTICHOICE,Analysis,Easy,Environment & Platform Configuration,A session fails with 'command not found: dotnet.' The team uses a Linux blueprint. What is the root cause?,N,"Either .NET SDK is not installed in the blueprint, or the application requires .NET Framework which only runs on Windows",1,The agent forgot to install .NET,,The session timed out before .NET could be installed,,The .NET command was renamed in the latest version,,,,N
120,MULTICHOICE,Analysis,Average,Environment & Platform Configuration,Compare the security implications of storing secrets as environment variables versus hardcoding them in blueprint files.,N,"Environment variables via the secrets management layer are injected at runtime and never persisted to disk; hardcoded values in blueprint files are visible in version control and snapshots, creating exposure risk",1,There is no security difference between the two approaches,,Hardcoded values are more secure because they are embedded in the blueprint,,Environment variables are less secure because they can be read by any process,,,,N
121,MULTICHOICE,Analysis,Average,Environment & Platform Configuration,Why might a team choose to install a large ML framework (3GB+) in the initialize section rather than the maintenance section?,N,"Installing in initialize bakes it into the snapshot, so sessions start instantly without a long download; maintenance would re-download it at every session start, wasting time",1,Initialize is for large packages and maintenance is for small ones,,The ML framework cannot be installed in maintenance,,There is no performance difference between the two sections,,,,N
122,MULTICHOICE,Analysis,Average,Environment & Platform Configuration,"A developer's local agent session works perfectly with a VPN-connected database, but the cloud session cannot connect. What explains this discrepancy?",N,"The local agent uses the developer's machine network (including VPN), while the cloud session runs on Cognition's infrastructure and needs its own VPN configuration or alternative connectivity setup",1,The cloud session uses a different AI model,,The database rejects connections from cloud agents,,Local agents have more compute power than cloud agents,,,,N
123,MULTICHOICE,Analysis,Average,Environment & Platform Configuration,Evaluate whether Knowledge notes or Playbooks are more appropriate for encoding coding standards.,N,"Knowledge notes are more appropriate — they are persistent context retrieved automatically based on task relevance, while Playbooks are step-by-step procedures for specific tasks, not general reference material",1,Playbooks are better because they can enforce the standards,,Both are equally appropriate,,Neither — coding standards should only be in AGENTS.md files,,,,N
124,MULTICHOICE,Analysis,Difficult,Environment & Platform Configuration,"A team configured SSM port forwarding for RDS access, but sessions intermittently fail to connect. What is the most likely cause?",N,"The SSM tunnel setup is in the initialize section (baked into snapshot) when it should be in maintenance (re-established each session start), since tunnels are ephemeral and do not survive hibernation/resume",1,The RDS instance is overloaded,,SSM port forwarding has a built-in time limit,,The Devin VM does not have network access,,,,N
125,MULTICHOICE,Analysis,Difficult,Environment & Platform Configuration,"An organization has 50 repos, each needing slightly different environment configurations. Should they use one blueprint or many?",N,"Use an organization-level blueprint for shared dependencies (common runtimes, CLI tools) and repo-level blueprints for repo-specific configurations, leveraging the layering model where org blueprints run before repo blueprints",1,One single blueprint for all 50 repos to minimize maintenance,,50 separate blueprints with no shared components,,Blueprints are not needed — just include setup instructions in each prompt,,,,N
126,MULTICHOICE,Analysis,Difficult,Environment & Platform Configuration,A session is taking 15 minutes to start because the maintenance section installs multiple packages. How should the configuration be optimized?,N,"Move the package installations to the initialize section so they are baked into the snapshot; keep only ephemeral setup (auth tokens, tunnel establishment) in maintenance",1,Delete the maintenance section entirely,,Increase the session timeout to accommodate the installation time,,Ask the agent to skip the maintenance section,,,,N
127,MULTICHOICE,Synthesis,Difficult,Environment & Platform Configuration,"Design a complete environment configuration for a team that uses Java 17, PostgreSQL, connects to AWS RDS in a private VPC, and integrates with Jira and Datadog.",N,"Initialize: Install JDK 17, Docker, PostgreSQL client, AWS CLI. Maintenance: Start PostgreSQL container, establish SSM tunnel to private RDS, refresh AWS IAM tokens. Org config: Jira MCP server, Datadog MCP server, AWS secrets (org scope), RDS credentials (repo scope).",1,Just install Java 17 in the prompt,,Install everything in the maintenance section,,Use a Windows host for Java development,,,,N
128,MULTICHOICE,Synthesis,Difficult,Environment & Platform Configuration,"Propose a secret management strategy for an organization with 200 developers, 80 repos, and varying access levels.",N,"Layer secrets at three scopes: org-level for shared infrastructure (CI tokens, monitoring API keys), user-level for personal credentials, and repo-level for service-specific secrets. Use ${SECRET_NAME} syntax everywhere, rotate on schedule, never embed in code.",1,Give all developers the same set of secrets,,Store all secrets in a shared Knowledge note,,Hardcode secrets in each repo's README,,,,N
129,MULTICHOICE,Synthesis,Difficult,Environment & Platform Configuration,Create a blueprint migration plan for a team transitioning from manual session setup to a fully configured environment.,N,Phase 1: Audit current prompts for repeated setup commands. Phase 2: Move persistent installations to initialize. Phase 3: Move ephemeral setup to maintenance. Phase 4: Configure MCP servers and secrets at org level. Phase 5: Create Knowledge notes for conventions. Phase 6: Validate by running sessions without setup instructions.,1,Just move everything to initialize in one step,,Continue using prompts for setup,,Ask each developer to configure their own blueprint,,,,N
130,MULTICHOICE,Evaluation,Difficult,Environment & Platform Configuration,"A team argues that configuring blueprints, secrets, and MCP servers is too much upfront work and they would rather include setup instructions in every prompt. Evaluate this position.",N,"Short-sighted — the upfront investment is one-time and benefits every future session for every team member; prompt-based setup is repeated every session, is error-prone, wastes session time on installation, and cannot share configuration across the organization",1,Valid — prompt-based setup is more flexible and should always be preferred,,Valid for small teams but not for large organizations,,The team should wait until they have more experience before configuring,,,,N
131,MULTICHOICE,Knowledge,Easy,PR Review & Agent Output,What is Devin Review?,N,"A proactive code review capability that automatically analyzes new PRs for bugs, security issues, and quality problems",1,A human code review service provided by Cognition,,A tool for reviewing Devin's pricing plans,,A weekly report of all PRs opened by Devin,,,,N
132,TRUEFALSE,Knowledge,Easy,PR Review & Agent Output,Devin never merges its own PRs — the merge decision always belongs to a human.,N,True,1,False,,,,,,,,N
133,TRUEFALSE,Knowledge,Easy,PR Review & Agent Output,"Devin Review can detect logic errors, null pointer risks, race conditions, and edge cases in new PR diffs.",N,True,1,False,,,,,,,,N
134,TRUEFALSE,Knowledge,Average,PR Review & Agent Output,"When multiple reviewers comment on a Devin PR, Devin only reads and responds to feedback from the session creator, ignoring other reviewers.",N,True,,False,1,,,,,,,N
135,TRUEFALSE,Knowledge,Average,PR Review & Agent Output,"Devin Review's capabilities include bug detection, PR digestion (summarization), proactive remediation with auto-fix PRs, and configurable rules.",N,True,1,False,,,,,,,,N
136,MULTICHOICE,Comprehension,Easy,PR Review & Agent Output,Why is the PR described as Devin's 'primary interface with human engineers'?,N,"Because every Devin implementation results in a PR that follows the team's existing review process — it is the familiar, auditable artifact for code delivery",1,Because Devin can only communicate through PR descriptions,,Because PRs are the only way to write code,,Because the PR replaces all other communication channels,,,,N
137,MULTICHOICE,Comprehension,Easy,PR Review & Agent Output,Why are PR comments the preferred communication channel for interacting with Devin during review?,N,"They are contextual (attached to specific lines), persistent (part of the audit trail), and familiar (no new tools or interfaces required)",1,Because Devin cannot receive messages through other channels,,Because PR comments are the fastest communication method,,Because they bypass the need for CI checks,,,,N
138,MULTICHOICE,Comprehension,Average,PR Review & Agent Output,Explain why the PR provides a complete audit trail of Devin's work.,N,"The PR contains the full diff, commit history, Devin's description of changes, CI results, review comments, and Devin's responses",1,Because PRs are stored in a separate audit database,,Because PRs include a recording of the session,,Because PRs are automatically sent to a compliance team,,,,N
139,MULTICHOICE,Comprehension,Average,PR Review & Agent Output,Why can Devin Review open fix PRs proactively rather than just commenting?,N,"When Devin Review finds a bug with a clear fix, it can automatically create a remediation PR, accelerating the fix cycle",1,Because commenting is disabled for Devin Review,,Because all bugs require immediate PRs,,Because Devin Review cannot leave comments,,,,N
140,TRUEFALSE,Comprehension,Average,PR Review & Agent Output,CI serves as an automated quality gate in the PR feedback loop — Devin iterates until CI passes or escalates if it cannot resolve the failure.,N,True,1,False,,,,,,,,N
141,MULTICHOICE,Comprehension,Average,PR Review & Agent Output,What happens when Devin pushes new commits to address PR review feedback?,N,"CI re-runs automatically on the new commits, and the review cycle repeats until the PR is approved and merged by a human",1,The PR is automatically merged after the fix,,The previous review comments are deleted,,The PR is closed and a new one is opened,,,,N
142,MULTICHOICE,Comprehension,Average,PR Review & Agent Output,Explain the relationship between Devin Review's configurable rules and a team's existing quality standards.,N,"Teams customize Devin Review's checks to align with their specific quality standards, adjusting sensitivity and focus areas so automated review complements their existing process",1,Devin Review's rules cannot be customized,,Teams must adopt Devin Review's built-in rules as their quality standard,,"Configurable rules only affect formatting, not logic",,,,N
143,TRUEFALSE,Application,Easy,PR Review & Agent Output,"After Devin opens a PR, CI checks run automatically and Devin iterates on failures without human intervention.",N,True,1,False,,,,,,,,N
144,TRUEFALSE,Application,Easy,PR Review & Agent Output,"When leaving PR feedback for Devin, comments should be specific and actionable — referencing exact lines, expected behavior, and the recommended fix approach.",N,True,1,False,,,,,,,,N
145,MULTICHOICE,Application,Average,PR Review & Agent Output,Devin opens a PR for a security remediation task. What should you check first during review?,N,Whether the SAST re-scan shows the findings are actually resolved,1,Whether the PR description is well-formatted,,Whether the commit messages follow conventional commits,,Whether the PR has fewer than 500 lines of changes,,,,N
146,MULTICHOICE,Application,Average,PR Review & Agent Output,You notice that Devin's PR for a database migration is missing a rollback script. What feedback should you leave?,N,A specific comment: 'Add a rollback migration script in db/migrations/ that reverses the schema changes in case the deployment needs to be reverted',1,A vague comment: 'This needs more work',,Close the PR and start a new session,,Merge the PR and add the rollback script yourself later,,,,N
147,MULTICHOICE,Application,Average,PR Review & Agent Output,Devin Review flags a potential null pointer issue on line 47 of a PR. What is the most effective response?,N,"Review the flagged line to confirm the issue, then leave a specific comment requesting the fix",1,Ignore the comment — it is probably a false positive,,Ask Devin Review to fix it without reviewing the code,,Merge the PR anyway and fix it later,,,,N
148,MULTICHOICE,Application,Average,PR Review & Agent Output,You are reviewing a Devin PR that upgrades Spring Boot from 2.7 to 3.2. What is the most critical area to verify?,N,"That all javax.* imports have been migrated to jakarta.*, tests pass, and the application starts successfully",1,That the PR description mentions Spring Boot 3.2,,That the commit history is clean and linear,,That no new dependencies were added,,,,N
149,MULTICHOICE,Application,Average,PR Review & Agent Output,"Devin opens a PR with 1,200 lines of changes across 30 files. How should you approach the review?",N,"Start with the PR description for context, then focus on the most critical files (business logic, API contracts, database schema)",1,Review every line sequentially from top to bottom,,Request that Devin split the PR into smaller PRs,,Approve it if CI passes,,,,N
150,MULTICHOICE,Application,Average,PR Review & Agent Output,Devin's PR comment response addresses your feedback but introduces a new bug. What should you do?,N,Leave a new comment pointing out the specific new bug so Devin can iterate again,1,Approve the PR and fix the bug yourself in a follow-up,,Close the PR and start completely over,,Revert the entire PR and try a different approach,,,,N
151,MULTICHOICE,Application,Average,PR Review & Agent Output,Devin Review flags a potential security issue: an API endpoint does not validate the authentication token. What is the appropriate action?,N,"Confirm the finding by checking the endpoint's middleware chain, then leave a comment requesting the fix",1,Dismiss the finding — Devin Review makes too many false positives,,Merge the PR and create a separate security ticket,,Ask Devin Review to disable security checks for this repo,,,,N
152,MULTICHOICE,Application,Average,PR Review & Agent Output,A Devin PR for a language translation (Java to Python) has passed all tests but you suspect the error handling behavior differs. What review approach should you take?,N,"Compare the error handling paths between the Java source and Python translation — check that exceptions, HTTP status codes, and error response formats match",1,Trust the passing tests — they prove the translation is correct,,Ask Devin to rewrite the entire translation,,Only review the happy path since tests cover the rest,,,,N
153,MULTICHOICE,Application,Difficult,PR Review & Agent Output,You are reviewing a microservice extraction PR. The new service works but retains a direct database query to the monolith's database. What feedback do you give?,N,Specify that the service should not query the monolith's database directly and should use HTTP calls to maintain proper service boundaries,1,"'Looks good, approved'",,'Fix the database issue' — without specifying which query,,Reject the PR with no feedback,,,,N
154,MULTICHOICE,Application,Average,PR Review & Agent Output,"After 3 rounds of PR feedback, Devin is still struggling with a complex refactoring task. What should you do?",N,Consider starting a new session with a more refined prompt that incorporates the lessons learned from the feedback rounds,1,Continue giving feedback indefinitely,,Merge the PR as-is and fix the remaining issues manually,,Report a bug to Cognition about the agent's capabilities,,,,N
155,MULTICHOICE,Comprehension,Easy,PR Review & Agent Output,Why does the Devin workflow separate PR creation (agent) from merging (human)?,N,"Separation ensures human judgment controls what reaches production — the agent proposes changes for review, but the decision to ship is always made by someone accountable",1,Because the agent does not have Git permissions to merge,,Because merging requires a license that the agent does not have,,Because automatic merging is disabled on all repositories,,,,N
156,MULTICHOICE,Analysis,Average,PR Review & Agent Output,A team finds that Devin Review consistently flags issues that human reviewers miss. What does this suggest?,N,Human reviewers may focus on higher-level design while missing low-level issues like null safety and edge cases — Devin Review provides complementary coverage for systematic checks,1,Human reviewers are not competent,,Devin Review is more intelligent than human reviewers,,The team should replace human review with Devin Review entirely,,,,N
157,MULTICHOICE,Analysis,Average,PR Review & Agent Output,Why is it important to verify that Devin's PR description accurately reflects the changes in the diff?,N,"An inaccurate description can mislead reviewers about the scope and intent of changes, leading to incorrect approval or missed issues",1,PR descriptions are optional and rarely read,,The description is automatically generated and always accurate,,Descriptions only matter for compliance audits,,,,N
158,MULTICHOICE,Analysis,Average,PR Review & Agent Output,A Devin PR contains a misleading code comment that contradicts the actual implementation. What is the significance?,N,Misleading comments can cause future developers to make incorrect assumptions — the review should flag the comment for correction,1,Comments are irrelevant to code quality,,The comment should be deleted since all comments are unnecessary,,The implementation should be changed to match the comment,,,,N
159,MULTICHOICE,Analysis,Average,PR Review & Agent Output,What is the value of Devin Review's PR digestion capability for large PRs?,N,"It highlights the most important changes and potential risks, enabling reviewers to focus their attention efficiently",1,It reduces the PR size by removing unnecessary changes,,It automatically splits large PRs into smaller ones,,It translates the code into natural language documentation,,,,N
160,MULTICHOICE,Analysis,Difficult,PR Review & Agent Output,Compare the value of Devin Review's 'proactive remediation' versus 'comments only' mode. When is each appropriate?,N,"Proactive remediation is appropriate for clear, mechanical fixes; comments only is better for design-level concerns where the fix requires human judgment",1,Proactive remediation should always be enabled,,Comments only is always safer,,There is no difference in outcomes between the two modes,,,,N
161,MULTICHOICE,Analysis,Difficult,PR Review & Agent Output,"Analyze the risk of approving a Devin PR solely based on CI passing, without human code review.",N,"CI checks verify functional correctness but cannot assess code quality, maintainability, security implications, and architectural alignment — human review catches design-level issues",1,CI passing is sufficient proof that the code is correct,,Human review adds no value when CI passes,,The risk is minimal because Devin produces high-quality code,,,,N
162,MULTICHOICE,Analysis,Difficult,PR Review & Agent Output,A team uses Devin for both feature development and security remediation. How should their PR review criteria differ?,N,"Security PRs need verification that scans are clean post-fix; feature PRs need design review, edge case coverage, and API contract validation — both need testing but with different focus areas",1,The same review criteria apply to all PRs,,Security PRs need less review because they are simpler,,Feature PRs should skip review if tests pass,,,,N
163,MULTICHOICE,Synthesis,Difficult,PR Review & Agent Output,Design a PR review checklist for a team that uses both Devin-generated PRs and Devin Review for automated analysis.,N,1. Read PR description. 2. Check Devin Review comments. 3. Verify CI passes. 4. Review critical files. 5. Confirm acceptance criteria from original prompt. 6. Check for unintended changes outside scope. 7. Leave specific feedback for needed changes.,1,Just check if CI passes,,Read the PR description and approve,,Only review files changed in the latest commit,,,,N
164,MULTICHOICE,Synthesis,Difficult,PR Review & Agent Output,Propose a workflow where Devin Review findings automatically trigger new Devin sessions to fix critical issues found in human-written PRs.,N,"Configure Devin Review to flag CRITICAL findings. Set up a webhook that triggers a new Devin session when a critical finding is identified, passing the PR number, file, line, and finding details as prompt context.",1,Have Devin Review automatically merge fix PRs without human review,,Manually copy-paste Devin Review findings into new sessions,,Disable Devin Review and rely solely on human reviewers,,,,N
165,MULTICHOICE,Evaluation,Difficult,PR Review & Agent Output,A team debates whether Devin Review should be a required status check (blocking merge) or advisory. Evaluate both approaches.,N,"Required checks ensure no PR ships with known critical issues but may slow urgent fixes; advisory mode provides value without blocking velocity. Optimal: require for critical severity, advisory for suggestions.",1,Always make it required,,Always make it advisory,,The setting makes no difference,,,,N
166,TRUEFALSE,Knowledge,Easy,Orchestration Patterns,"The four orchestration patterns available in Devin are Single Agent, Parent-Child, Event-Driven, and Scheduled.",N,True,1,False,,,,,,,,N
167,MULTICHOICE,Knowledge,Easy,Orchestration Patterns,"In the parent-child pattern, what does each child agent work on?",N,"Its own independent target (repo, module, or finding) on its own VM, producing its own PR",1,"The same file as other children, collaboratively",,A subset of the parent agent's prompt text,,The parent agent's PR review comments,,,,N
168,TRUEFALSE,Knowledge,Easy,Orchestration Patterns,"In the parent-child orchestration pattern, a failure in one child agent affects the execution of all other child agents.",N,True,,False,1,,,,,,,N
169,TRUEFALSE,Knowledge,Easy,Orchestration Patterns,The single-agent orchestration pattern produces exactly one PR from one prompt given to one agent.,N,True,1,False,,,,,,,,N
170,TRUEFALSE,Knowledge,Average,Orchestration Patterns,"In the parent-child pattern, a Playbook encodes the repeatable methodology that each child agent follows for consistent execution across all targets.",N,True,1,False,,,,,,,,N
171,TRUEFALSE,Knowledge,Average,Orchestration Patterns,Scheduled Devin sessions can be configured to run on custom cron expressions for proactive maintenance.,N,True,1,False,,,,,,,,N
172,TRUEFALSE,Knowledge,Average,Orchestration Patterns,Event-driven Devin sessions should filter out the agent's own events by checking the PR author to prevent infinite automation loops.,N,True,1,False,,,,,,,,N
173,MULTICHOICE,Comprehension,Average,Orchestration Patterns,Explain why dependency bumps are described as a 'perfect use case' for scheduled sessions.,N,"They are low-risk, high-volume, predictable in scope, and easy to verify via CI",1,Because dependency bumps are too complex for human engineers,,Because dependencies change too frequently for manual tracking,,Because scheduled sessions are the cheapest session type,,,,N
174,TRUEFALSE,Comprehension,Easy,Orchestration Patterns,The single-agent pattern is the most common orchestration pattern for everyday engineering work like bug fixes and feature additions.,N,True,1,False,,,,,,,,N
175,MULTICHOICE,Comprehension,Average,Orchestration Patterns,Why is the parent-child pattern more efficient than having a single agent handle 50 upgrade tasks sequentially?,N,"Child agents work in parallel on separate VMs, completing in hours what would take a single agent weeks — each child is independent with its own branch and PR",1,A single agent would produce higher quality work,,Parallel execution is cheaper per-session,,The parent-child pattern is not more efficient,,,,N
176,MULTICHOICE,Comprehension,Average,Orchestration Patterns,How does the event-driven pattern improve incident response time compared to human-initiated sessions?,N,"The agent begins working immediately when the alert fires — no human needs to context-switch, read the alert, and manually start a session",1,It does not improve response time,,The event-driven pattern skips code review for faster deployment,,Incident response should never be automated,,,,N
177,MULTICHOICE,Comprehension,Average,Orchestration Patterns,Why does the parent agent create a playbook before spawning child agents?,N,To encode the proven methodology once so every child follows the same validated process — this enables consistent execution at scale,1,Because child agents cannot receive prompts directly,,Because playbooks are required by the platform for all sessions,,To keep a record of the parent's planning work,,,,N
178,MULTICHOICE,Comprehension,Average,Orchestration Patterns,What is the difference between event-driven and scheduled orchestration patterns?,N,Event-driven reacts to specific signals in real time; scheduled runs proactively at fixed intervals regardless of events,1,Event-driven is for important tasks; scheduled is for unimportant tasks,,There is no practical difference,,Event-driven is faster; scheduled produces higher quality output,,,,N
